tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	bed_dip	bed_dip_direction	citations	composite_depth	conglomerate_test	contact_test	core_depth	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	elevation	external_database_ids	geographic_precision	geologic_classes	geologic_types	height	instrument_codes	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	magn_mass	magn_volume	method_codes	paleolat	paleolon	result_quality	result_type	samples	scientists	site	site_alternatives	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.5292	Basalt	9 N East Pacific Rise	255.7742			FS-C-WAX							2489-3														
								10.1029/2005GC001141						2489-3																				1.39e-05	5e-07		2		9.5292		9 N East Pacific Rise	255.7742			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2489-3														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.5276	Basalt	9 N East Pacific Rise	255.7881			FS-C-WAX							2489-8														
								10.1029/2005GC001141						2489-8																				7.7e-06			1		9.5276		9 N East Pacific Rise	255.7881			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2489-8														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.5308	Basalt	9 N East Pacific Rise	255.7524			FS-C-WAX							2490-1														
								10.1029/2005GC001141						2490-1																				4.13e-05	7e-07		3		9.5308		9 N East Pacific Rise	255.7524			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2490-1														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.5289	Basalt	9 N East Pacific Rise	255.7375			FS-C-WAX							2490-10														
								10.1029/2005GC001141						2490-10																				2.99e-05	5.4e-06		2		9.5289		9 N East Pacific Rise	255.7375			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2490-10														
								10.1029/2005GC001141																						Extrusive : Igneous:Submarine	Chilled Margin:Lava Flow								9.5294	Basalt	9 N East Pacific Rise	255.7399			FS-C-WAX							2490-8														
								10.1029/2005GC001141						2490-8																				4.5e-05	1.3e-06		4		9.5294		9 N East Pacific Rise	255.7399			LP-PI-ALT-PTRM:LP-PI-TRM-ZI:GM-NO				a			2490-8														
